Word,Character Count,value
crab,4,24
crabby,6,51
crabgrass,9,88
crabs,5,43
crack,5,36
cracked,7,45
cracker,7,59
crackerjack,11,84
crackers,8,78
cracking,8,66
crackling,9,78
crackpot,8,87
cracks,6,55
cradle,6,43
craft,5,48
crafted,7,57
crafting,8,78
crafts,6,67
craftsmanship,13,147
craftsmen,9,99
crafty,6,73
cram,4,35
crammed,7,57
cramming,8,78
cramp,5,51
cramped,7,60
cramping,8,81
cramps,6,70
cranberry,9,104
crane,5,41
cranes,6,60
cranial,7,58
cranium,7,79
crank,5,47
cranking,8,77
cranks,6,66
cranky,6,72
cranny,6,75
crap,4,38
crapped,7,63
crapper,7,77
crapping,8,84
crappy,6,79
craps,5,57
crash,5,49
crashed,7,58
crasher,7,72
crashers,8,91
crashes,7,73
crashing,8,79
crass,5,60
crate,5,47
crated,6,51
crater,6,65
crates,6,66
crave,5,49
craves,6,68
craving,7,74
crawl,5,57
crawled,7,66
crawlers,8,99
crawling,8,87
crawls,6,76
crawly,6,82
crayons,7,95
craze,5,53
crazed,6,57
crazier,7,80
craziest,8,101
craziness,9,114
crazy,5,73
creak,5,38
creaky,6,63
cream,5,40
creamed,7,49
creamer,7,63
creaming,8,70
creamy,6,65
crease,6,51
creased,7,55
creases,7,70
create,6,52
created,7,56
creates,7,71
creating,8,77
creation,8,85
creations,9,104
creative,8,83
creatively,10,120
creativity,10,132
creator,7,80
creature,8,91
creatures,9,110
credence,8,57
credentials,11,110
credenza,8,76
credibility,11,116
credible,8,58
credit,6,59
credited,8,68
credits,7,78
credo,5,45
creed,5,35
creeds,6,54
creek,5,42
creep,5,47
creepers,8,89
creeping,8,77
creeps,6,66
creepy,6,72
cremated,8,69
cremation,9,98
crematorium,11,136
creme,5,44
crepe,5,47
crepes,6,66
crept,5,62
crescent,8,87
crest,5,65
crested,7,74
cretins,7,88
crevasse,8,92
crew,4,49
crewman,7,77
crews,5,68
crib,4,32
cribbage,8,47
cribs,5,51
crick,5,44
cricket,7,69
cried,5,39
crier,5,53
cries,5,54
crikey,6,71
crime,5,48
crimes,6,67
criminal,8,79
criminalistics,14,158
criminally,10,116
criminals,9,98
criminology,11,140
crimp,5,59
crimson,7,91
cringe,6,56
cripes,6,70
cripple,7,79
crippled,8,83
cripples,8,98
cris,4,49
crises,6,73
crisis,6,77
crisp,5,65
crisps,6,84
crispy,6,90
criteria,8,83
criterion,9,111
critic,6,62
critical,8,75
critically,10,112
criticism,9,103
criticize,9,102
criticized,10,106
criticizing,11,127
critics,7,81
critter,7,93
critters,8,112
croak,5,48
croaker,7,71
croc,4,39
crock,5,50
crocket,7,75
crocodile,9,84
crocodiles,10,103
croft,5,62
croissants,10,137
cronies,7,83
crook,5,62
crooked,7,71
crooks,6,81
croon,5,65
crop,4,52
cropped,7,77
crops,5,71
croquet,7,99
cross,5,74
crossbow,8,114
crossed,7,83
crosses,7,98
crossfire,9,112
crosshairs,10,129
crossing,8,104
crossroads,10,131
crossword,9,134
crotch,6,67
crouch,6,68
crouched,8,77
crouching,9,98
croupier,8,105
croutons,8,125
crow,4,59
crowbar,7,80
crowd,5,63
crowded,7,72
crowding,8,93
crowds,6,82
crowed,6,68
crowing,7,89
crown,5,73
crowned,7,82
crowning,8,103
crowns,6,92
crows,5,78
crucial,7,67
crucible,8,73
crucified,9,78
crucifix,8,93
crucifixion,11,131
crucify,7,85
crud,4,46
cruddy,6,75
crude,5,51
crudely,7,88
cruel,5,59
cruelly,7,96
cruelty,7,104
cruise,6,75
cruised,7,79
cruiser,7,93
cruisers,8,112
cruises,7,94
cruising,8,100
crumb,5,57
crumble,7,74
crumbled,8,78
crumbles,8,93
crumbling,9,99
crumbs,6,76
crummy,6,93
crumpets,8,115
crumpled,8,92
crunch,6,67
crunched,8,76
crunches,8,91
crunchy,7,92
crusade,7,71
crusader,8,89
crusades,8,90
crush,5,69
crushed,7,78
crusher,7,92
crushes,7,93
crushing,8,99
crust,5,81
crusts,6,100
crusty,6,106
crutch,6,73
crutches,8,97
crux,4,66
cry,3,46
crying,6,76
cryogenic,9,99
crypt,5,82
cryptic,7,94
crypto,6,97
crypts,6,101
crystal,7,98
crystals,8,117
cub,3,26
cubbies,7,61
cubby,5,53
cube,4,31
cubed,5,35
cubes,5,50
cubic,5,38
cubicle,7,55
cubs,4,45
cuckoo,6,68
cucumber,8,86
cud,3,28
cuddle,6,49
cuddled,7,53
cuddles,7,68
cuddly,6,69
cuddy,5,57
cue,3,29
cued,4,33
cuff,4,36
cuffed,6,45
cuffing,7,66
cuffs,5,55
cuisine,7,80
culinary,8,103
culminating,11,123
culmination,11,131
culottes,8,115
culpa,5,53
culpability,11,130
culpable,8,72
cult,4,56
cultivate,9,113
cultivated,10,117
cultivating,11,138
cultural,8,108
culturally,10,145
culture,7,100
cultured,8,104
cultures,8,119
cum,3,37
cumin,5,60
cummerbund,10,114
cumulative,10,127
cuneiform,9,104
cunning,7,82
cunt,4,58
cunts,5,77
cup,3,40
cupboard,8,80
cupboards,9,99
cupcake,7,60
cupcakes,8,79
cupid,5,53
cuppa,5,57
cups,4,59
cur,3,42
curacao,7,62
curate,6,68
curator,7,96
curb,4,44
curd,4,46
curdle,6,63
cure,4,47
cured,5,51
cures,5,66
curfew,6,76
curfews,7,95
curie,5,56
curing,6,72
curiosity,9,139
curious,7,106
curiously,9,143
curl,4,54
curled,6,63
curlers,7,96
curling,7,84
curly,5,79
curmudgeon,10,121
curran,6,75
currency,8,107
current,7,99
currently,9,136
currents,8,118
curriculum,10,139
curry,5,85
curse,5,66
cursed,6,70
curses,6,85
cursing,7,91
cursive,7,97
cursory,7,119
curt,4,62
curtain,7,86
curtains,8,105
curtsy,6,106
curvaceous,10,128
curve,5,69
curveball,9,96
curves,6,88
cushion,7,89
cushions,8,108
cushy,5,76
cusp,4,59
cuss,4,62
cussing,7,92
custard,7,86
custodial,9,104
custodian,9,106
custody,7,107
custom,6,91
customarily,11,156
customary,9,135
customer,8,114
customers,9,133
customs,7,110
cut,3,44
cutaway,7,94
cutbacks,8,80
cute,4,49
cuteness,8,106
cuter,5,67
cutest,6,88
cutesy,6,93
cuticle,7,73
cuticles,8,92
cutie,5,58
cutlass,7,95
cutler,6,79
cutlery,7,104
cutoff,6,71
cutoffs,7,90
cutout,6,100
cuts,4,63
cutter,6,87
cutters,7,106
cutthroat,9,126
cutting,7,94
cyanide,7,61
cybernetic,10,104
cyberspace,10,97
cyborg,6,70
cycle,5,48
cycles,6,67
cyclone,7,77
cyclops,7,93
cyclotron,9,125
cylinder,8,90
cylinders,9,109
cymbal,6,56
cynic,5,54
cynical,7,67
cynicism,8,95
cynics,6,73
cypher,6,75
cypress,7,105
cyprus,6,102
cyst,4,67
cystic,6,79
dab,3,7
dabble,6,26
dabbled,7,30
dabbling,8,51
dad,3,9
daddies,7,46
daddy,5,38
dads,4,28
daffodils,9,76
daffy,5,42
daft,4,31
dag,3,12
dagger,6,42
dago,4,27
dah,3,13
dahl,4,25
dahlia,6,35
dailies,7,59
daily,5,51
dainty,6,73
daiquiri,8,88
dairy,5,57
dais,4,33
daisies,7,66
daisy,5,58
dale,4,22
dalliance,9,61
dally,5,54
dallying,8,84
dalton,6,66
dam,3,18
damage,6,31
damaged,7,35
damages,7,50
damaging,8,56
dame,4,23
damn,4,32
damnable,8,52
damned,6,41
damnedest,9,85
damning,7,62
damp,4,34
dampened,8,62
dampener,8,76
damper,6,57
damsel,6,54
damsels,7,73
dance,5,27
danced,6,31
dancer,6,45
dancers,7,64
dances,6,46
dancing,7,52
dandelion,9,78
dandelions,10,97
dandruff,8,74
dandy,5,48
dang,4,26
danger,6,49
dangerous,9,104
dangerously,11,141
dangers,7,68
dangle,6,43
dangled,7,47
dangling,8,68
danish,6,55
daphne,6,48
dapper,6,60
dare,4,28
dared,5,32
daredevil,9,80
dares,5,47
daring,6,53
dark,4,34
darken,6,53
darkened,8,62
darker,6,57
darkest,7,78
darkness,8,91
darkroom,8,95
darks,5,53
darling,7,65
darlings,8,84
darn,4,37
darndest,8,85
darned,6,46
dart,4,43
darts,5,62
dash,4,32
dashboard,9,72
dashed,6,41
dasher,6,55
dashing,7,62
data,4,26
database,8,53
databases,9,72
date,4,30
dated,5,34
dateless,8,85
dateline,8,70
dater,5,48
dates,5,49
dating,6,55
dato,4,40
daughter,8,84
daughters,9,103
daunting,8,90
dauphin,7,73
davenport,9,115
davy,4,52
dawdling,8,74
dawn,4,42
dawned,6,51
dawning,7,72
day,3,30
daybreak,8,67
daydream,8,71
daydreaming,11,101
daylight,8,86
daylights,9,105
days,4,49
daytime,7,77
daze,4,36
dazzle,6,74
dazzled,7,78
dazzling,8,99
de,2,9
deacon,6,42
dead,4,14
deadbeat,8,42
deadbeats,9,61
deader,6,37
deadlier,8,58
deadliest,9,79
deadline,8,54
deadlines,9,73
deadlock,8,55
deadly,6,51
deaf,4,16
deafening,9,65
deal,4,22
dealer,6,45
dealers,7,64
dealership,10,97
dealing,7,52
dealings,8,71
deals,5,41
dealt,5,42
dean,4,24
dear,4,28
dearest,7,72
dearie,6,42
dearly,6,65
dears,5,47
death,5,38
deathbed,8,49
deathly,7,75
deaths,6,57
deb,3,11
debacle,7,32
debatable,9,52
debate,6,37
debated,7,41
debates,7,56
debating,8,62
debilitating,12,112
debit,5,40
debonair,8,68
debrief,7,49
debriefed,9,58
debriefing,10,79
debris,6,57
debt,4,31
debts,5,50
debut,5,52
debutante,9,92
debutantes,10,111
decade,6,22
decadence,9,44
decadent,8,56
decades,7,41
decaf,5,19
decanter,8,70
decapitate,10,84
decapitated,11,88
decapitation,12,117
decay,5,38
decaying,8,68
deceased,8,46
deceit,6,46
deceitful,9,85
deceive,7,53
deceived,8,57
deceiving,9,78
decency,7,59
decent,6,51
deception,9,91
deceptions,10,110
deceptive,9,89
deceptively,11,126
decibel,7,40
decibels,8,59
decide,6,30
decided,7,34
decides,7,49
deciding,8,55
decipher,8,68
deciphering,11,98
decision,8,78
decisions,9,97
decisive,8,76
deck,4,23
decked,6,32
decker,6,46
decks,5,42
declaration,11,102
declare,7,48
declared,8,52
declaring,9,73
decline,7,52
declined,8,56
declining,9,77
deco,4,27
decoded,7,40
decoder,7,54
decompose,9,95
decomposed,10,99
decomposing,11,120
decompress,10,117
deconstruction,14,180
decontamination,15,157
decor,5,45
decorate,8,71
decorated,9,75
decorating,10,96
decoration,10,104
decorations,11,123
decorative,10,102
decorator,9,99
decorators,10,118
decorum,7,79
decoupage,9,77
decoy,5,52
decoys,6,71
decreased,9,64
decree,6,40
decrypted,9,100
decryption,10,129
dedicate,8,51
dedicated,9,55
dedicating,10,76
dedication,10,84
deduce,6,42
deduct,6,57
deducted,8,66
deductible,10,85
deduction,9,95
deductions,10,114
dee,3,14
deed,4,18
deeded,6,27
deeds,5,37
deejay,6,50
deem,4,27
deemed,6,36
deep,4,30
deeper,6,53
deepest,7,74
deeply,6,67
deer,4,32
deets,5,53
defaced,7,28
defacing,8,49
default,7,69
defeat,6,41
defeated,8,50
defeats,7,60
defect,6,43
defected,8,52
defective,9,79
defector,8,76
defects,7,62
defence,7,42
defend,6,38
defendant,9,73
defendants,10,92
defended,8,47
defender,8,61
defending,9,68
defense,7,58
defenseless,11,113
defenses,8,77
defensive,9,89
deferred,8,65
defiance,8,47
defiant,7,59
defiantly,9,96
defibrillator,13,131
deficiencies,12,91
deficiency,10,83
deficient,9,75
deficit,7,56
defied,6,33
defies,6,48
define,6,43
defined,7,47
defining,8,68
definite,8,72
definitely,10,109
definition,10,105
definitions,11,124
definitive,10,103
definitively,12,140
deflate,7,53
deflated,8,57
deflecting,10,85
deflection,10,93
deflower,8,88
deformity,9,115
defraud,7,59
defrost,7,87
deft,4,35
deftly,6,72
defuse,6,60
defused,7,64
defy,4,40
defying,7,70
degenerate,10,84
degeneration,12,117
degenerative,12,115
degradation,11,98
degrade,7,44
degraded,8,48
degrading,9,69
degree,6,44
degrees,7,63
dehydrated,10,94
dehydration,11,123
deigned,7,48
deities,7,71
deity,5,63
deke,4,25
del,3,21
delay,5,47
delayed,7,56
delaying,8,77
delays,6,66
delectable,10,69
delegate,8,59
delegates,9,78
delegation,10,92
delete,6,51
deleted,7,55
deli,4,30
deliberate,10,81
deliberately,12,118
deliberation,12,114
deliberations,13,133
delicacy,8,62
delicate,8,59
delicately,10,96
delicates,9,78
delicious,9,97
delight,7,65
delighted,9,74
delightful,10,104
delightfully,12,141
delights,8,84
delinquency,11,129
delinquent,10,121
delirious,9,112
delirium,8,91
deliver,7,75
delivered,9,84
deliveries,10,108
delivering,10,105
delivers,8,94
delivery,8,100
dell,4,33
delly,5,58
delta,5,42
deltas,6,61
delude,6,51
deluded,7,55
deluding,8,76
deluge,6,54
delusion,8,99
delusional,10,112
delusions,9,118
deluxe,6,71
delve,5,48
delving,7,73
demand,6,41
demanded,8,50
demanding,9,71
demands,7,60
demean,6,42
demeaning,9,72
demented,8,70
dementia,8,71
demerits,8,93
demise,6,55
demo,4,37
democracy,9,87
democrat,8,79
democratic,10,91
democrats,9,98
demographic,11,99
demographics,12,118
demolish,8,85
demolition,10,116
demolitions,11,135
demon,5,51
demonic,7,63
demonology,10,125
demons,6,70
demonstrate,11,134
demonstrated,12,138
demonstrates,12,153
demonstration,13,167
demonstrations,14,186
demonstrators,13,181
demoted,7,66
demur,5,61
demure,6,66
den,3,23
denial,6,45
denied,6,41
denies,6,56
denning,7,67
denominational,14,146
denominations,13,152
denominators,12,147
denounce,8,81
denouncing,10,106
dense,5,47
density,7,96
dent,4,43
dental,6,56
dentist,7,91
dentists,8,110
dents,5,62
dentures,8,106
deny,4,48
denying,7,78
deodorant,9,96
depart,6,64
departed,8,73
departing,9,94
department,10,116
departmental,12,129
departments,11,135
departure,9,108
depend,6,48
dependable,10,68
dependant,9,83
depended,8,57
dependency,10,95
dependent,9,87
depending,9,78
depends,7,67
depict,6,57
depicted,8,66
depicting,9,87
depiction,9,95
depicts,7,76
deplete,7,67
deplorable,10,90
deplore,7,75
deploy,6,77
deployed,8,86
deport,6,78
deported,8,87
depose,6,64
deposed,7,68
deposing,8,89
deposit,7,88
deposited,9,97
deposition,10,126
depositions,11,145
depository,10,146
deposits,8,107
depot,5,60
depraved,8,75
deprecating,11,102
depress,7,86
depressed,9,95
depressing,10,116
depression,10,124
depressor,9,119
depressors,10,138
deprivation,11,133
deprive,7,79
deprived,8,83
depriving,9,104
depth,5,53
depths,6,72
deputies,8,99
deputized,9,110
deputy,6,91
derail,6,49
derailing,9,79
deranged,8,58
derby,5,54
derelict,8,76
derision,8,93
derivative,10,115
derive,6,63
derives,7,82
dermatologist,13,158
derogatory,10,128
derrick,7,68
derriere,8,82
derris,6,73
descend,7,54
descendants,11,108
descending,10,84
descends,8,73
descent,7,70
describe,8,65
described,9,69
describes,9,84
describing,10,90
description,11,132
descriptive,11,130
desecrate,9,80
desecrated,10,84
desecration,11,113
desert,6,71
deserted,8,80
deserter,8,94
deserting,9,101
deserts,7,90
deserve,7,78
deserved,8,82
deserves,8,97
deserving,9,103
design,6,58
designate,9,84
designated,10,88
designation,11,117
designed,8,67
designer,8,81
designers,9,100
designing,9,88
designs,7,77
desirable,9,75
desire,6,60
desired,7,64
desires,7,79
desist,6,76
desk,4,39
desks,5,58
desktop,7,90
desolate,8,81
despair,7,72
desperado,9,87
desperate,9,93
desperately,11,130
desperation,11,126
despicable,10,76
despise,7,77
despised,8,81
despises,8,96
despising,9,102
despite,7,78
despondent,10,116
dessert,7,90
desserts,8,109
destabilize,11,112
destination,11,130
destinations,12,149
destined,8,80
destiny,7,96
destitute,9,123
destroy,7,106
destroyed,9,115
destroyer,9,129
destroyers,10,148
destroying,10,136
destroys,8,125
destruct,8,110
destructing,11,140
destruction,11,148
destructive,11,146
destructs,9,129
detach,6,41
detached,8,50
detachment,10,93
detail,6,51
detailed,8,60
detailing,9,81
details,7,70
detain,6,53
detained,8,62
detaining,9,83
detect,6,57
detected,8,66
detecting,9,87
detection,9,95
detective,9,93
detectives,10,112
detector,8,90
detectors,9,109
detente,7,73
detention,9,106
detergent,9,98
deteriorated,12,124
deterioration,13,153
determination,13,147
determine,9,93
determined,10,97
determines,10,112
determining,11,118
deterrent,9,109
detest,6,73
detestable,10,93
detests,7,92
detonate,8,84
detonated,9,88
detonates,9,103
detonating,10,109
detonation,10,117
detonator,9,112
detonators,10,131
detour,6,83
detours,7,102
detoxing,8,98
detract,7,71
detrimental,11,121
deuce,5,38
deuces,6,57
devastate,9,97
devastated,10,101
devastating,11,122
devastatingly,13,159
devastation,11,130
develop,7,79
developed,9,88
developer,9,102
developing,10,109
development,11,131
developments,12,150
develops,8,98
deviants,8,94
deviated,8,70
deviation,9,99
device,6,48
devices,7,67
devil,5,52
deviled,7,61
devilishly,10,125
devils,6,71
devious,7,95
devise,6,64
devised,7,68
devon,5,60
devote,6,71
devoted,7,75
devoting,8,96
devotion,8,104
devour,6,85
devoured,8,94
devouring,9,115
devours,7,104
dew,3,32
dewars,6,70
dewy,4,57
dex,3,33
dey,3,34
diabetes,8,65
diabetic,8,53
diabetics,9,72
diabolical,10,68
diagnose,8,74
diagnosed,9,78
diagnoses,9,93
diagnosis,9,97
diagnostic,10,101
diagnostician,13,125
diagonal,8,63
diagram,7,53
dial,4,26
dialect,7,54
dialed,6,35
dialing,7,56
dialogue,8,74
dials,5,45
dialysis,8,98
diameter,8,75
diamond,7,60
diamonds,8,79
diaper,6,53
diapers,7,72
diaphragm,9,77
diaphragms,10,96
diaries,7,65
diarrhea,8,64
diary,5,57
diathesis,9,94
diatribes,9,87
diazepam,8,75
dibs,4,34
dice,4,21
diced,5,25
dicey,5,46
dick,4,27
dickens,7,65
dickie,6,41
dicking,7,57
dicks,5,46
dicky,5,52
dictate,7,62
dictated,8,66
dictates,8,81
dictating,9,87
dictation,9,95
dictator,8,90
dictators,9,109
dictatorship,12,142
dictatorships,13,161
dictionary,10,118
did,3,17
diddling,8,63
diddly,6,58
die,3,18
died,4,22
dies,4,37
diesel,6,54
diet,4,38
dieter,6,61
dieting,7,68
diets,5,57
differ,6,48
difference,10,75
differences,11,94
different,9,87
differential,12,109
differently,11,124
differs,7,67
difficult,9,90
difficulties,12,123
difficulty,10,115
diffuse,7,70
diffusion,9,103
dig,3,20
digest,6,64
digested,8,73
digesting,9,94
digestion,9,102
digestive,9,100
digger,6,50
diggers,7,69
digging,7,57
digit,5,49
digital,7,62
digitally,9,99
digits,6,68
dignified,9,67
dignify,7,74
dignitaries,11,115
dignity,7,88
digress,7,81
digs,4,39
dike,4,29
dilated,7,55
dilation,8,84
dildo,5,44
dilemma,7,57
dilettante,10,110
diligence,9,68
diligent,8,80
diligently,10,117
dill,4,37
dills,5,56
dilly,5,62
dilute,6,71
diluted,7,75
dim,3,26
dime,4,31
dimension,9,102
dimensional,11,115
dimensions,10,121
dimes,5,50
diminish,8,85
diminished,10,94
diminutive,10,126
dimly,5,63
dimmer,6,62
dimming,7,69
dimple,6,59
dimpled,7,63
dimwit,6,78
dine,4,32
dined,5,36
diner,5,50
dinero,6,65
diners,6,69
ding,4,34
dinged,6,43
dingle,6,51
dingo,5,49
dings,5,53
dingy,5,59
dining,6,57
dink,4,38
dinks,5,57
dinky,5,63
dinner,6,64
dinners,7,83
dinnertime,10,111
dinning,7,71
dinosaur,8,101
dinosaurs,9,120
dioxide,7,70
dip,3,29
diphtheria,10,98
diploma,7,70
diplomas,8,89
diplomatic,10,102
dipped,6,54
dipping,7,75
dips,4,48
dipstick,8,91
dire,4,36
direct,6,59
directed,8,68
directing,9,89
direction,9,97
directions,10,116
directive,9,95
directly,8,96
director,8,92
directorate,11,118
directors,9,111
directory,9,117
dirk,4,42
dirt,4,51
dirtiest,8,104
dirty,5,76
dis,3,32
disabilities,12,118
disability,10,110
disable,7,52
disabled,8,56
disabling,9,77
disadvantage,12,107
disagree,8,68
disagreed,9,72
disagreeing,11,98
disagreement,12,120
disagreements,13,139
disagrees,9,87
disallowed,10,104
disappear,9,89
disappearance,13,112
disappearances,14,131
disappeared,11,98
disappearing,12,119
disappears,10,108
disappoint,10,123
disappointed,12,132
disappointing,13,153
disappointment,14,175
disappointments,15,194
disappoints,11,142
disapproval,11,133
disapprove,10,125
disapproved,11,129
disapproves,11,144
disapproving,12,150
disarm,6,64
disarmed,8,73
disarming,9,94
disarray,8,95
disassembled,12,112
disaster,8,95
disasters,9,114
disastrous,10,145
disbarred,9,80
disbelief,9,71
disc,4,35
discarded,9,67
discerning,10,102
discharge,9,74
discharged,10,78
disciples,9,96
disciplinary,12,139
discipline,10,100
disciplined,11,104
disciplines,11,119
disciplining,12,125
disclose,8,86
disclosed,9,90
disclosure,10,125
disco,5,50
discoloration,13,154
discolored,10,104
discomfort,10,122
disconnect,10,106
disconnected,12,115
discontent,10,123
discontinue,11,133
discontinued,12,137
discord,7,72
discotheque,11,126
discount,8,105
discounting,11,135
discounts,9,124
discourage,10,102
discouraged,11,106
discourse,9,113
discourteous,12,169
discover,8,95
discovered,10,104
discoveries,11,128
discovering,11,125
discovers,9,114
discovery,9,120
discredit,9,91
discreet,8,83
discreetly,10,120
discrepancies,13,125
discrepancy,11,117
discrete,8,83
discretion,10,116
discriminate,12,124
discriminated,13,128
discriminating,14,149
discrimination,14,157
discs,5,54
discus,6,75
discuss,7,94
discussed,9,103
discusses,9,118
discussing,10,124
discussion,10,132
discussions,11,151
disdain,7,60
disease,7,62
diseased,8,66
diseases,8,81
disfigured,10,102
disfiguring,11,123
disgrace,8,66
disgraced,9,70
disgruntled,11,133
disguise,8,93
disguised,9,97
disguises,9,112
disgust,7,99
disgusted,9,108
disgusting,10,129
disgustingly,12,166
dish,4,40
disheartening,13,133
dishes,6,64
disheveled,10,93
dishonest,9,113
dishonor,8,102
dishonorable,12,122
dishwasher,10,114
disillusioned,13,152
disillusionment,15,195
disinfect,9,89
disinfectant,12,124
disinformation,14,166
disingenuous,12,157
disinherit,10,115
disinherited,12,124
disintegrate,12,131
disintegrated,13,135
disk,4,43
disks,5,62
dislike,7,69
dislocated,10,92
dislodge,8,75
dislodged,9,79
disloyal,8,97
dismal,6,58
dismantle,9,97
dismantled,10,101
dismantling,11,122
dismay,6,71
dismember,9,88
dismemberment,13,140
dismiss,7,92
dismissal,9,105
dismissed,9,101
dismissing,10,122
dismissive,10,128
dismount,8,115
disobedience,12,94
disobey,7,79
disobeyed,9,88
disobeying,10,109
disorder,8,92
disorders,9,111
disorganized,12,131
disorientation,14,172
disoriented,11,122
disorienting,12,143
disown,6,84
disowned,8,93
disparaging,11,105
disparity,9,121
dispatch,8,80
dispatched,10,89
dispatcher,10,103
dispatches,10,104
dispensary,10,130
dispensation,12,145
dispense,8,91
dispensed,9,95
dispenser,9,109
dispensers,10,128
dispensing,10,116
disperse,8,95
displace,8,69
displaced,9,73
displacement,12,121
display,7,86
displayed,9,95
displaying,10,116
displays,8,105
displeased,10,94
displeasure,11,129
disposable,10,102
disposal,8,95
dispose,7,87
disposing,9,112
disposition,11,149
disproportionate,16,214
disprove,8,108
dispute,7,94
disputes,8,113
disputing,9,119
disqualified,12,116
disqualify,10,123
disregard,9,85
disregarded,11,94
disrespect,10,118
disrespected,12,127
disrespectful,13,157
disrespecting,13,148
disrupt,7,107
disrupted,9,116
disrupting,10,137
disruptions,11,164
disruptive,10,143
disrupts,8,126
dissatisfied,12,124
dissect,7,79
dissected,9,88
dissection,10,117
dissed,6,60
dissent,7,90
dissertation,12,153
disservice,10,113
dissident,9,103
dissing,7,81
dissipate,9,102
dissipated,10,106
dissolve,8,105
dissolved,9,109
dissolves,9,124
dissolving,10,130
dissuade,8,82
distance,8,75
distances,9,94
distancing,10,100
distant,7,87
distaste,8,97
distasteful,11,136
distended,9,84
distillery,10,133
distinct,8,98
distinction,11,136
distinctions,12,155
distinctive,11,134
distinctly,10,135
distinguish,11,139
distinguished,13,148
distinguishing,14,169
distort,7,105
distorted,9,114
distortion,10,143
distortions,11,162
distract,8,94
distracted,10,103
distracting,11,124
distraction,11,132
distractions,12,151
distraught,10,127
distress,8,113
distressed,10,122
distressing,11,143
distribute,10,127
distributed,11,131
distributing,12,152
distribution,12,160
distributor,11,155
distributors,12,174
district,8,102
districts,9,121
distrust,8,130
distrustful,11,169
disturb,7,93
disturbance,11,116
disturbances,12,135
disturbed,9,102
disturbing,10,123
dit,3,33
ditch,5,44
ditched,7,53
ditches,7,68
ditching,8,74
ditsy,5,77
ditto,5,68
ditty,5,78
ditz,4,59
diuretic,8,89
diuretics,9,108
diva,4,36
divas,5,55
dive,4,40
diver,5,58
divers,6,77
diversion,9,115
diversionary,12,159
diversions,10,134
divert,6,78
diverted,8,87
diverting,9,108
dives,5,59
divest,6,79
divide,6,53
divided,7,57
dividends,9,90
divine,6,63
diving,6,65
divining,8,88
divinity,8,112
division,8,101
divisional,10,114
divisions,9,120
divorce,7,76
divorced,8,80
divorcee,8,81
divorces,8,95
divorcing,9,101
divulged,8,84
divvy,5,82
dizziness,9,131
dizzy,5,90
dizzying,8,120
do,2,19
dobbin,6,46
dobbins,7,65
dobson,6,69
doc,3,22
dock,4,33
docked,6,42
docking,7,63
docks,5,52
docs,4,41
doctor,6,75
doctored,8,84
doctors,7,94
doctrine,8,88
document,8,95
documentaries,13,147
documentary,11,139
documented,10,104
documents,9,114
dodge,5,35
dodgeball,9,62
dodged,6,39
dodger,6,53
dodgers,7,72
dodging,7,60
dodgy,5,55
doe,3,24
doer,4,42
does,4,43
dog,3,26
dogged,6,42
doggie,6,47
doggies,7,66
doggone,7,67
doggy,5,58
doghouse,8,94
dogs,4,45
dogwood,7,83
doily,5,65
doing,5,49
dojo,4,44
dol,3,31
dolce,5,39
dole,4,36
doling,6,61
doll,4,43
dollar,6,62
dollars,7,81
dolled,6,52
dollhouse,9,111
dollop,6,74
dolls,5,62
dolly,5,68
dolphin,7,78
dolphins,8,97
dolt,4,51
dom,3,32
domain,6,56
dome,4,37
domes,5,56
domestic,8,88
domesticated,12,118
domesticity,11,142
domicile,8,70
dominance,9,78
dominant,8,90
dominate,8,81
dominates,9,100
dominating,10,106
domination,10,114
dominick,8,78
dominion,8,93
dominoes,8,94
don,3,33
donate,6,59
donated,7,63
donating,8,84
donation,8,92
donations,9,111
done,4,38
dong,4,40
dongs,5,59
donkey,6,74
donkeys,7,93
donna,5,48
donor,5,66
donors,6,85
donut,5,74
donuts,6,93
doodle,6,55
doodles,7,74
doofus,6,80
doohickey,9,95
doom,4,47
doomed,6,56
doomsday,8,96
door,4,52
doorbell,8,83
doorknob,8,94
doorknobs,9,113
doorman,7,80
doormat,7,86
doornail,8,88
doors,5,71
doorstep,8,112
doorway,7,101
doozy,5,85
dopamine,8,77
dope,4,40
dopes,5,59
dopey,5,65
doping,6,65
doppelganger,12,120
dorado,6,57
dork,4,48
dorky,5,73
dorm,4,50
dormant,7,85
dormitory,9,137
dorms,5,69
dorsal,6,69
dory,4,62
dos,3,38
dosage,6,51
dosages,7,70
dose,4,43
dosed,5,47
doses,5,62
dossier,7,89
dost,4,58
dot,3,39
dote,4,44
dotes,5,63
doth,4,47
dots,4,58
dotted,6,68
dotty,5,84
double,6,59
doubled,7,63
doubles,7,78
doubly,6,79
doubt,5,62
doubted,7,71
doubtful,8,101
doubting,8,92
doubts,6,81
douche,6,56
dough,5,55
doughnut,8,110
doughnuts,9,129
dour,4,58
doused,6,68
dove,4,46
doves,5,65
dowager,7,73
dowdy,5,71
down,4,56
downed,6,65
downer,6,79
downfall,8,87
downgraded,10,95
downhill,8,97
downing,7,86
download,8,88
downloaded,10,97
downpour,8,126
downright,9,118
downriver,9,128
downs,5,75
downside,8,93
downsize,8,115
downsizing,10,140
downstairs,10,142
downstream,10,132
downtown,8,128
downtrodden,11,136
downward,8,102
